siec;kandydat;max_iteracji;iteracje;wynik;motyw;czas
Scerevisiae_new;graphs_n3_1_0;16963135;24;13457.0;1.964
Scerevisiae_new;graphs_n4_2_0;1973818;21;159175.09523809524;1;2.058
Scerevisiae_new;graphs_n4_2_1;1091375;21;38999.333333333336;-1;1.693
Scerevisiae_new;graphs_n5_3_0;111688;22;1881335.2272727273;1;3.440
Scerevisiae_new;graphs_n5_3_1;14917;21;694904.5238095238;-1;1.778
Scerevisiae_new;graphs_n5_3_2;13460;21;397256.95238095237;-1;1.771
Scerevisiae_new;graphs_n6_6_0;4561;22;18763502.727272727;1;2.553
Scerevisiae_new;graphs_n6_6_1;454;454;9399724.235682819;0;2.689
Scerevisiae_new;graphs_n6_6_2;252;252;13548700.416666666;0;3.171
Scerevisiae_new;graphs_n6_6_3;196;21;949607.0;-1;2.751
Scerevisiae_new;graphs_n6_6_4;147;21;1557002.0476190476;-1;1.458
Scerevisiae_new;graphs_n6_6_5;151;21;1150067.238095238;-1;1.469
hpylo-nonmulti;graphs_n3_1_0;100;21;6814.142857142857;-1;1.462
hpylo-nonmulti;graphs_n4_2_0;100;21;27717.0;-1;2.341
hpylo-nonmulti;graphs_n4_2_1;100;21;37875.28571428572;-1;1.499
hpylo-nonmulti;graphs_n5_3_0;100;21;132952.57142857142;-1;1.424
hpylo-nonmulti;graphs_n5_3_1;106;21;455864.3333333333;-1;1.616
hpylo-nonmulti;graphs_n5_3_2;118;21;195196.04761904763;-1;1.371
hpylo-nonmulti;graphs_n6_6_0;353;21;671112.0952380953;-1;1.636
hpylo-nonmulti;graphs_n6_6_1;380;22;3250659.590909091;-1;1.656
hpylo-nonmulti;graphs_n6_6_2;408;21;2240713.0476190476;-1;1.690
hpylo-nonmulti;graphs_n6_6_3;440;21;1421134.9047619049;-1;1.649
hpylo-nonmulti;graphs_n6_6_4;469;21;2527465.476190476;-1;1.702
hpylo-nonmulti;graphs_n6_6_5;504;21;942627.0476190476;-1;2.675
